1	5.497	10588.931
2	3.529	10633.808
3	3.791	10570.688
4	1.952	10634.622
7	9.983	10573.925
8	8.125	10564.312
9	10.242	10572.828
10	9.365	10565.450
11	3.168	10594.813
12	2.016	10607.427
13	0.854	10900.379
14	9.495	10581.123
15	18.599	10549.292
16	36.481	10549.308
17	20.345	10546.828
18	12.557	10545.717
19	3.816	10569.430
20	1.173	10656.169
22	14.284	10570.188
23	38.577	10555.262
24	131.218	10534.346
25	80.885	10532.244
26	17.284	10539.544
27	9.878	10540.236
28	3.399	10637.468
31	14.441	10580.117
32	31.159	10566.050
33	424.201	10532.438
34	1294.033	10520.453
35	115.520	10524.503
36	26.016	10532.310
37	11.630	10568.345
38	2.076	10555.149
41	18.378	10578.377
42	72.142	10549.834
43	344.536	10529.989
44	158.578	10525.496
45	31.251	10527.788
46	8.457	10538.269
47	2.933	10551.382
48	2.279	10660.711
51	15.040	10571.691
53	48.180	10545.215
55	8.691	10551.784
56	5.762	10578.573
57	1.939	10584.207
60	6.066	10580.476
61	10.970	10551.656
62	14.463	10560.216
63	6.731	10562.776
64	2.971	10587.347
65	2.066	10596.278
66	0.582	10783.202
68	2.774	10591.858
69	8.202	10591.498
70	3.754	10571.908
71	4.340	10596.812
72	3.307	10636.606
73	0.442	10825.498
74	0.407	10872.297
75	2.330	10774.808
76	3.088	10664.171
77	2.045	10725.826
