2	3.368	10417.679
4	1.255	10319.332
5	0.790	10351.186
9	1.078	10377.987
10	6.358	10311.595
11	3.848	10292.507
12	3.587	10280.292
13	1.011	10328.709
16	1.836	10397.331
17	7.192	10341.628
18	42.583	10320.719
19	23.651	10306.796
20	4.823	10293.899
24	1.495	10400.271
25	2.013	10378.715
26	14.436	10350.455
27	157.962	10326.852
28	12.797	10321.113
29	0.450	10329.999
35	2.363	10402.546
36	13.883	10357.412
44	0.485	10501.232
45	0.644	10428.858
46	1.799	10387.701
47	0.661	10429.323
55	1.638	10548.690
56	0.204	10459.444
