18	1.760	10140.304
19	0.643	10137.994
25	1.094	10268.365
26	2.083	10200.588
27	0.509	10155.239
28	1.184	10075.499
34	1.684	10396.437
35	3.250	10325.670
36	5.760	10225.666
37	4.058	10169.151
42	1.480	10626.993
43	0.785	10517.997
44	8.949	10405.929
45	23.121	10349.647
46	18.300	10295.072
47	2.546	10267.260
48	0.885	10229.597
52	0.937	10654.543
53	3.887	10552.955
54	17.814	10483.849
55	118.121	10387.559
56	4.461	10335.740
61	1.487	10724.836
62	2.623	10637.439
63	10.854	10528.878
64	4.835	10454.466
66	1.386	10368.397
70	2.509	10711.032
71	0.923	10618.702
72	0.795	10592.950
73	0.694	10637.053
77	0.918	10800.199
