2	0.831	10293.282
3	1.247	10333.757
4	1.275	10401.986
8	1.143	10159.425
9	4.131	10213.083
10	3.800	10289.625
11	1.552	10393.339
16	8.915	10120.700
17	26.772	10206.193
19	4.114	10372.917
20	0.746	10606.696
23	1.942	10006.340
24	4.306	10065.671
25	64.943	10133.577
26	191.365	10206.383
27	7.801	10289.373
28	1.300	10378.080
32	1.617	9964.143
33	2.712	9986.563
34	9.026	10063.721
35	28.328	10111.894
36	35.241	10196.950
37	8.212	10272.071
43	2.484	9991.298
44	6.489	10073.233
45	8.541	10119.459
46	1.355	10210.551
51	2.152	10006.771
53	0.837	10042.641
54	1.931	10068.297
55	2.263	10228.483
56	1.880	10225.152
65	2.352	10248.736
